Station Name,Venue Name,Category,Venue Latitude,Venue Longitude,fsq_id,venue distance
27 - Praça Ana Lúcia Magalhães,Preto,Bars,-12.991484,-38.460663,4c4a3bd5959220a13290d10d,207
27 - Praça Ana Lúcia Magalhães,Proa Cervejaria Salvador,Bars,-12.994175,-38.457994,5ce8a0eb1acf11002cdee3a2,326
27 - Praça Ana Lúcia Magalhães,Su Espeto Bistrot,Bars,-12.993303,-38.460751,4fceabcce4b0296cfc3c8836,16
27 - Praça Ana Lúcia Magalhães,Restaurante Caminho de Casa,Bars,-12.995514,-38.464786,4c0da9b97189c928fb6dd7b6,479
27 - Praça Ana Lúcia Magalhães,Acqua Café,Bars,-12.993441,-38.460507,504fcb01e4b0eec17d50ff2b,38
27 - Praça Ana Lúcia Magalhães,Zaccaria Bar,Bars,-12.993536,-38.455214,52602bb0498eaf45b878d16f,598
27 - Praça Ana Lúcia Magalhães,Sal Marinho Restaurant'Bar,Bars,-12.999948,-38.456725,4f35b844e4b0b0eb8b54c21a,860
27 - Praça Ana Lúcia Magalhães,Cabana da Cely,Bars,-13.001011,-38.457171,4c702137fa49a1cd7e15a5e3,948
27 - Praça Ana Lúcia Magalhães,Tô Chegando,Bars,-12.993157,-38.455393,5647d841498e4a6344b2fe54,595
27 - Praça Ana Lúcia Magalhães,Rio Madrio,Bars,-12.989811,-38.458729,4dffe209d22d5ec6f276b95e,455
27 - Praça Ana Lúcia Magalhães,Red Burger N Bar,Bars,-12.999039,-38.460159,584894b5d21e030f3958cbef,653
27 - Praça Ana Lúcia Magalhães,Las Fuentes Pub,Bars,-12.992304,-38.454456,50cbc37ae4b0c490ba374de8,710
27 - Praça Ana Lúcia Magalhães,Quintal de Casa,Bars,-12.990262,-38.457812,4c33560e09a99c749bd20b2a,493
27 - Praça Ana Lúcia Magalhães,O Point Bar e Restaurante,Bars,-13.002051,-38.461928,4d9f8a03090da093df28d9a8,973
27 - Praça Ana Lúcia Magalhães,Bar e Lanchonete do Canal,Bars,-12.992997,-38.453112,4e6cd48645dd435bc132bfce,843
27 - Praça Ana Lúcia Magalhães,071 Music Bar,Bars,-13.001262,-38.461855,4fc182d2e4b0c5923486499f,879
27 - Praça Ana Lúcia Magalhães,Aleatórios Boteco,Bars,-12.993303,-38.460751,645007d01950697d0388e631,15
27 - Praça Ana Lúcia Magalhães,Oxe Drinks,Bars,-12.993475,-38.460569,6120402b0db3b0335859a98d,32
27 - Praça Ana Lúcia Magalhães,Bendito Cozinha Criativa,Bars,-12.993579,-38.460509,4e7aa84414959982f7c77ae3,41
