Station Name,Latitude,Longitude,Search Term,Business Name,Business Category,Business Rating,Business Address,Business Phone,Business Distance (meters)
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Mamma's House,Restaurants,4.9,"R. das Margaridas,150",+557133532600,527.4836238045067
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Acqua Café,Restaurants,4.3,"R. das Hortências, 600 - Pituba",+557133581635,47.24864260915549
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Riz Bistrot & Risottos,Restaurants,3.9,"R. das Hortênsias, 966",+557130196800,328.79394211259836
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Vignoli,Restaurants,4.4,"Av. Paulo VI, 1659",+557130182111,490.8665471171455
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Adam Cozinha Originária,Restaurants,4.6,"R. Edith Mendes da Gama e Abreu, 189",+557135063191,208.53593505699857
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,All Saints Mundi,Restaurants,4.7,"Rua Ewerton Visco, 160",+557132724162,1380.5210034685658
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Soho,Restaurants,3.6,"R. Rubens Guelli, 135",+557134535445,1147.12017163686
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,A Saúde Na Panela,Restaurants,4.7,"R. das Hortênsias, 752",+557133536788,116.54705713193103
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Su Espeto Bistrot,Restaurants,3.5,"Rua das Hortênsias, 624.",+557135068280,30.512337602882862
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Preto,Restaurants,4.1,"R. Guillard Muniz, 771",+557130162218,188.7089620558256
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Barbacoa Salvador,Restaurants,4.0,Av. Tancredo Neves 909,+557133424666,1547.5421011723793
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Restaurante Yakisoba,Restaurants,4.0,"Av. Paulo VI, 700",+557133453333,759.6237537376933
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Bravo Burger & Beer,Restaurants,4.3,"R. das Hortênsias, 478",+557135610829,152.88809031066313
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Pizza da Chapada,Restaurants,4.3,"R. Érico Veríssimo, 7",+557130127202,537.0242183660462
